"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.829063939E1,6.504325555E1,2.557656251E1,2.666530761E1,1.509999990E0,2.967000122E2,3.790092468E0,2.500000000E0
8.929075736E1,6.504326235E1,2.557653227E1,2.660622636E1,1.500000000E0,2.972999878E2,3.790092468E0,2.500000000E0
9.029149747E1,6.504326815E1,2.557650239E1,2.629226255E1,1.509999990E0,2.942000122E2,3.790092468E0,2.500000000E0
9.129066231E1,6.504327355E1,2.557647282E1,2.607204884E1,1.490000010E0,2.930000000E2,3.790092468E0,2.500000000E0
9.229080012E1,6.504327955E1,2.557644438E1,2.621474988E1,1.500000000E0,2.976000061E2,3.790092468E0,2.500000000E0
9.329130773E1,6.504328627E1,2.557641577E1,2.593655229E1,1.509999990E0,2.967999878E2,3.790092468E0,2.500000000E0
9.429106455E1,6.504329313E1,2.557638691E1,2.596383564E1,1.509999990E0,2.985000000E2,3.790092468E0,2.500000000E0
9.529089246E1,6.504330038E1,2.557635972E1,2.574380427E1,1.460000038E0,3.002999878E2,3.790092468E0,2.500000000E0
9.629111236E1,6.504330723E1,2.557633073E1,2.579190062E1,1.460000038E0,2.977999878E2,3.790092468E0,2.500000000E0
9.729111512E1,6.504331380E1,2.557630322E1,2.592636166E1,1.450000048E0,2.981000061E2,3.790092468E0,2.500000000E0
9.829126345E1,6.504332064E1,2.557627561E1,2.573916736E1,1.429999948E0,3.022999878E2,3.790092468E0,2.500000000E0
9.929122501E1,6.504332748E1,2.557625072E1,2.569033951E1,1.409999967E0,3.012999878E2,3.790092468E0,2.500000000E0
1.002905553E2,6.504333409E1,2.557622435E1,2.577682680E1,1.440000057E0,2.972000122E2,3.790092468E0,2.500000000E0
1.012911117E2,6.504334019E1,2.557619800E1,2.577127323E1,1.370000005E0,2.970000000E2,3.790092468E0,2.500000000E0
1.022907308E2,6.504334614E1,2.557617198E1,2.563144232E1,1.389999986E0,2.947999878E2,3.790092468E0,2.500000000E0
1.032908761E2,6.504335193E1,2.557614544E1,2.562900165E1,1.379999995E0,2.955000000E2,3.790092468E0,2.500000000E0
1.042907018E2,6.504335836E1,2.557612000E1,2.592026186E1,1.399999976E0,2.978999939E2,3.790092468E0,2.500000000E0
1.052913451E2,6.504336465E1,2.557609383E1,2.583438594E1,1.409999967E0,2.981000061E2,3.790092468E0,2.500000000E0
1.062912089E2,6.504337055E1,2.557606683E1,2.569540964E1,1.399999976E0,2.938999939E2,3.790092468E0,2.500000000E0
1.072912848E2,6.504337675E1,2.557604065E1,2.539829107E1,1.350000024E0,3.025000000E2,3.790092468E0,2.500000000E0
1.082910818E2,6.504338324E1,2.557601441E1,2.540708063E1,1.409999967E0,2.973999939E2,3.790092468E0,2.500000000E0
1.092915029E2,6.504338870E1,2.557598757E1,2.526230610E1,1.370000005E0,2.940000000E2,3.790092468E0,2.500000000E0
1.102911096E2,6.504339466E1,2.557596251E1,2.555387158E1,1.360000014E0,3.020000000E2,3.790092468E0,2.500000000E0
1.112915202E2,6.504340119E1,2.557593821E1,2.571488263E1,1.370000005E0,2.982999878E2,3.790092468E0,2.500000000E0
1.122907292E2,6.504340696E1,2.557591131E1,2.623667295E1,1.440000057E0,2.972999878E2,3.790092468E0,2.500000000E0
1.132906261E2,6.504341238E1,2.557588237E1,2.647251386E1,1.419999957E0,2.958999939E2,3.790092468E0,2.500000000E0
1.142910480E2,6.504341768E1,2.557585467E1,2.652970478E1,1.399999976E0,2.976000061E2,3.790092468E0,2.500000000E0
1.152911256E2,6.504342255E1,2.557582705E1,2.679606330E1,1.429999948E0,2.960000000E2,3.790092468E0,2.500000000E0
1.162912994E2,6.504342846E1,2.557580035E1,2.670994340E1,1.379999995E0,3.012000122E2,3.790092468E0,2.500000000E0
1.172907284E2,6.504343357E1,2.557577239E1,2.693217346E1,1.460000038E0,2.952999878E2,3.790092468E0,2.500000000E0
1.182910635E2,6.504343887E1,2.557574600E1,2.737754786E1,1.419999957E0,2.998999939E2,3.790092468E0,2.500000000E0
1.192906543E2,6.504344455E1,2.557571790E1,2.737608392E1,1.480000019E0,2.962000122E2,3.790092468E0,2.500000000E0
1.202906328E2,6.504345061E1,2.557568923E1,2.774119707E1,1.509999990E0,2.961000061E2,3.790092468E0,2.500000000E0
1.212912809E2,6.504345740E1,2.557566141E1,2.774064830E1,1.460000038E0,2.961000061E2,3.790092468E0,2.500000000E0
1.222913883E2,6.504346459E1,2.557563392E1,2.769377371E1,1.529999971E0,2.957000122E2,3.790092468E0,2.500000000E0
1.232908973E2,6.504347160E1,2.557560661E1,2.732219211E1,1.490000010E0,2.957999878E2,3.790092468E0,2.500000000E0
1.242908829E2,6.504347807E1,2.557557982E1,2.763188505E1,1.519999981E0,2.952000122E2,3.790092468E0,2.500000000E0
1.252912039E2,6.504348469E1,2.557555204E1,2.778355801E1,1.490000010E0,2.952000122E2,3.790092468E0,2.500000000E0
1.262913547E2,6.504349131E1,2.557552388E1,2.784886625E1,1.500000000E0,2.965000000E2,3.790092468E0,2.500000000E0
1.272904745E2,6.504349844E1,2.557549424E1,2.819524138E1,1.509999990E0,2.995000000E2,3.790092468E0,2.500000000E0
1.282914739E2,6.504350601E1,2.557546566E1,2.834966072E1,1.570000052E0,3.005000000E2,3.790092468E0,2.500000000E0
1.292908958E2,6.504351403E1,2.557543727E1,2.824107941E1,1.519999981E0,2.980000000E2,3.790092468E0,2.500000000E0
1.302909257E2,6.504352207E1,2.557541046E1,2.844341104E1,1.519999981E0,3.028999939E2,3.790092468E0,2.500000000E0
1.312913181E2,6.504353184E1,2.557538599E1,2.833897926E1,1.559999943E0,3.088999939E2,3.790092468E0,2.500000000E0
1.322912156E2,6.504354207E1,2.557536212E1,2.843925919E1,1.509999990E0,3.088999939E2,3.790092468E0,2.500000000E0
1.332906860E2,6.504355178E1,2.557533864E1,2.862804022E1,1.509999990E0,3.087999878E2,3.790092468E0,2.500000000E0
1.342909346E2,6.504356076E1,2.557531339E1,2.855626254E1,1.519999981E0,3.022000122E2,3.790092468E0,2.500000000E0
1.352913740E2,6.504356851E1,2.557528795E1,2.860966835E1,1.490000010E0,3.013999939E2,3.790092468E0,2.500000000E0
1.362913193E2,6.504357522E1,2.557525904E1,2.836143904E1,1.519999981E0,2.938999939E2,3.790092468E0,2.500000000E0
1.372905229E2,6.504358025E1,2.557522862E1,2.830235831E1,1.539999962E0,2.891000061E2,3.790092468E0,2.500000000E0
1.382907073E2,6.504358309E1,2.557519571E1,2.799089808E1,1.519999981E0,2.778999939E2,3.790092468E0,2.500000000E0
1.392907172E2,6.504358422E1,2.557516494E1,2.795238738E1,1.490000010E0,2.762999878E2,3.790092468E0,2.500000000E0
1.402909241E2,6.504358436E1,2.557513476E1,2.789080563E1,1.490000010E0,2.701000061E2,3.790092468E0,2.500000000E0
1.412906736E2,6.504358234E1,2.557510483E1,2.756463709E1,1.480000019E0,2.598999939E2,3.790092468E0,2.500000000E0
1.422908785E2,6.504357924E1,2.557507780E1,2.745477719E1,1.450000048E0,2.602000122E2,3.790092468E0,2.500000000E0
1.432907929E2,6.504357500E1,2.557505235E1,2.733509083E1,1.429999948E0,2.506999969E2,3.790092468E0,2.500000000E0
1.442909318E2,6.504356949E1,2.557502746E1,2.729060010E1,1.419999957E0,2.501000061E2,3.790092468E0,2.500000000E0
1.452912270E2,6.504356444E1,2.557500088E1,2.730189552E1,1.450000048E0,2.536000061E2,3.790092468E0,2.500000000E0
1.462905280E2,6.504356191E1,2.557497111E1,2.725435261E1,1.429999948E0,2.653999939E2,3.790092468E0,2.500000000E0
1.472909233E2,6.504356254E1,2.557494030E1,2.746388893E1,1.379999995E0,2.757999878E2,3.790092468E0,2.500000000E0
1.482907748E2,6.504356740E1,2.557491145E1,2.750447852E1,1.460000038E0,2.963999939E2,3.790092468E0,2.500000000E0
1.492911058E2,6.504357581E1,2.557488685E1,2.768654616E1,1.460000038E0,3.102999878E2,3.790092468E0,2.500000000E0
1.502911966E2,6.504358627E1,2.557486511E1,2.783766811E1,1.429999948E0,3.157000122E2,3.790092468E0,2.500000000E0
1.512906672E2,6.504359791E1,2.557484440E1,2.768361384E1,1.450000048E0,3.187000122E2,3.790092468E0,2.500000000E0
1.522908943E2,6.504361060E1,2.557482415E1,2.757692250E1,1.480000019E0,3.210000000E2,3.790092468E0,2.500000000E0
1.532910957E2,6.504362235E1,2.557480579E1,2.721778986E1,1.450000048E0,3.213999939E2,3.790092468E0,2.500000000E0
1.542911198E2,6.504363447E1,2.557478874E1,2.766273413E1,1.470000029E0,3.290000000E2,3.790092468E0,2.500000000E0
1.552914264E2,6.504364657E1,2.557477538E1,2.781000962E1,1.440000057E0,3.317000122E2,3.790092468E0,2.500000000E0
1.562912006E2,6.504365843E1,2.557475979E1,2.774817894E1,1.480000019E0,3.266000061E2,3.790092468E0,2.500000000E0
1.572914751E2,6.504367032E1,2.557474356E1,2.760321842E1,1.450000048E0,3.318999939E2,3.790092468E0,2.500000000E0
1.582906395E2,6.504368126E1,2.557472875E1,2.747839965E1,1.470000029E0,3.293999939E2,3.790092468E0,2.500000000E0
1.592908521E2,6.504369248E1,2.557471039E1,2.729468220E1,1.440000057E0,3.255000000E2,3.790092468E0,2.500000000E0
1.602909328E2,6.504370298E1,2.557469074E1,2.695270092E1,1.429999948E0,3.212000122E2,3.790092468E0,2.500000000E0
1.612906242E2,6.504371400E1,2.557467173E1,2.681140302E1,1.429999948E0,3.270000000E2,3.790092468E0,2.500000000E0
